id,comment_text,severe_toxic,obscene,threat,insult,identity_hate,toxic
f413d1947cd10174, see also all of today s user contributions  ,0.0,0.0,0.0,0.0,0.0,0.0
a880f8613ec5dbcd,  i d love to hear your reasoning about how i m hurting myself physically emotionally mentally  my wiki reputation if so  you have much more to worry about than i do learn the difference between your and you re i m not vandalizing anything i stated crumb  suck did not spell well and changed justified text to unjustified text  which are facts  as evidenced by his edits ,0.0,0.0,0.0,0.0,0.0,0.0
368d860ea44c0727, mangled units of  trans mission speed can anyone explain what units cuteftp uses for speed i see kbs and mbs in the cuteftp queue window for example  but these are not valid units  kbs suggests kilo byte seconds or kilo bit seconds but both are nonsense units  should be either kbps or kb s similarly  mbs suggests milli byte seconds or milli bit seconds which is doubly nonsense both because it is a nonsense unit and also because  even if they mean mbps or mb s  it is a ridiculously small unit i realize that they probably mean mega rather than milli but then they should use capital m baud used to be used universally for data  trans mission rates  and that is  at least  unambiguous this is all very sloppy and  of course  does not reflect well on globalscape see data rate units  also see bit rate  si prefix  binary prefix  list of device bandwidths ,0.0,0.0,0.0,0.0,0.0,0.0
4dcbd8a005ba8447, unblock reason your reason here left account signed in while i was away from computer  my friend messed then used my account to vandlise ,0.0,0.0,0.0,0.0,0.0,0.0
8990f2e4d437c09f,user materialscientists it appears you have a  i don t know how to classify this one  thought you should know ,0.0,0.0,0.0,0.0,0.0,0.0
4f4494c93bace7a1, this is part of the ron paul interview with glenn beck  beck  ok  dr  paul  i m going to take a break  and in the break  i m going to feed something down to your location that i m not going to show on the air  my life has been threatened  i ve had to wear a vest and have securities  i ve had an s w a t  team watch my family because of people who say they support you  i want to show you something that is out on the internet about me and from people that say they support you  and i want to get your thoughts on this  and let s set to rest some things when we come back  shall we commercial break beck  we re back with republican presidential candidate ron paul  who is joining us tonight for a full hour  i want to make this very clear  i believe that ron paul  in general  the group of supporters  some of whom i ve met while i was on the road  are amazing people  without any help from the official campaign  ron paul supporters have coined the term the ron paul revolution  they developed the concept for the guy fawkes day money bomb back on november  th which raised over million  they hired a blimp to fly over new hampshire to promote the ron paul campaign  last sunday  they held a tea party  where they broke john kerry s single day primary fundraising record by collecting another million  but the downside is  when you have rabid supporters  some of them believe they can speak to their own agendas using the candidate s name  and i just in the break showed dr  paul just a clip  a very small part of a five  minute video that is on the internet where i am named a traitor and traitors should be executed  can you  would you like to address that at all  sir  so yes  newsroom hierarchies i d say that my quotes about the revolution being violen are valid  and yes you feel you can just do anything with section you want  with out coming to a consensus  so stop  untill others voice their thoughts mps comb mfa  ,0.0,0.0,0.0,0.0,0.0,0.0
848b305352fd5ce2,polish marines there were some references to  th coastal defense brigade as the polish marines  unfortunately  this is not true  after disbanding the  th coastal defense division in and scrapping most of landing ships  there is no amphibious assault unit in the polish army the th coastal defense brigade only bears traditions of the  th division  and it practices small scale experimental exercises with amphibious assault  but it s still not amphibious assault unit  at least up to there was no decision of creating a real amphibious assault unit in the polish army  ,0.0,0.0,0.0,0.0,0.0,0.0
e5213827cfd97938,by childish revision,0.0,0.0,0.0,0.0,0.0,0.0
a396c03071ee2e78,a frank apology i would like briefly apologise to my disgusting and unwarranted vendetta against you  i deeply regret and am greatly ashamed by my abhorrent actions and comments and i assure you they will never occur in any form again  i am sorry and apologise for all the offence and disruption which ensued my actions to ensure this does not re occur  i promise to avoid this talk in future and that you shall never hear from me again sorry ,0.0,0.0,0.0,0.0,0.0,0.0
ce25da8f2d9c50ac,  also known as a wikijaguar as for the question  i have no idea  you would be better off talking to an editor that is more heavily involved in copyright issues  such as she should be able to help you or point you in the right direction to finding an answer serenc  ,0.0,0.0,0.0,0.0,0.0,0.0
